Grupo,Participante,Minuto,C3,C4,CZ,EMG,F3,F4,F7,F8,FP1,FP2,FZ,LOG,O1,O2,P3,P4,PZ,ROG,T3,T4,T5,T6
0,EMV,5,1.47765603681324,1.4755864904812697,1.4387161344387285,1.4674395891593153,1.5169264207489872,1.4718854472689484,1.4891665200758228,1.4695376072520665,1.3960562250444497,1.3380749719085885,1.4404846761712418,1.2482921240016642,1.4274934785458948,1.4446266967583532,1.4415504340240566,1.4484827446068758,1.4331293669746095,1.2276630832549513,1.465643882545985,1.469509415416482,1.4695096332739304,1.4337246899850788
0,EMV,50,1.3420862757118557,1.3772895944368138,1.4060452926209563,1.3911774206545429,1.3995443360720805,1.3937778314990366,1.4296500845168663,1.3854020180091948,1.3523469370647279,1.2903554825698798,1.3896323778798423,1.1921159800658623,1.4303594486853746,1.4299180062451573,1.3813974383483285,1.4095865786438748,1.421717873352158,1.1657552423251647,1.451407931017862,1.4079769064398662,1.4390982465406965,1.4116092385632106
0,EMV,6,1.3806478035687533,1.4203481197262557,1.4423952576358166,1.4491657083581087,1.4206372501524815,1.4107711688073248,1.4477249824826284,1.3999210039980297,1.3442533456736612,1.3163388222441734,1.4226046547383837,1.1752189213082431,1.428674115864066,1.4523009429070106,1.4031288148824974,1.4316006078565706,1.426712739175262,1.1663899625128027,1.4278431571554102,1.4508722354300052,1.3741822642848311,1.4373109434128182
0,EMV,7,1.4426808674946092,1.3720599075734956,1.3608164097819595,1.3076247840605608,1.4753261483413553,1.367790961083928,1.4394216932067874,1.2763710615645936,1.2061272009315671,1.1790669671348384,1.3126773504146876,1.0209474087397388,1.4173536715725878,1.423157570438301,1.410678184076696,1.3944975277228169,1.392027914453272,1.121852857380989,1.4730571622227102,1.4121269509324437,1.4774774081613915,1.4128260589860229
0,EMV,8,1.385914344154038,1.3302274974090622,1.3539745367941713,1.411304670442467,1.462711867517516,1.3054582605283804,1.40092439029156,1.2319487059216492,1.2076484679109354,1.1906578775985288,1.276635972267674,1.1164026232293414,1.4075648712354105,1.3738983661463544,1.3938943873135559,1.3519352805617164,1.3827319759721803,1.1325015065179145,1.4493014262938861,1.35911260800156,1.4391398258205934,1.3416560322661908
0,EMV,9,1.4639300065662233,1.4811553513238507,1.4179884892719514,1.494191914313047,1.4418825185080801,1.447928774820902,1.4254026694913442,1.3782786080025626,1.2384829380299953,1.2703363527110272,1.3667944459411951,1.1253448721183195,1.3949175413288313,1.461230986513783,1.4531482547596128,1.4154656351990713,1.4227785779375617,1.1673460964178504,1.4935762792921212,1.476688285477348,1.4885893280668565,1.4642458384355521
0,GH2,1,1.4162788407489868,1.3720705993751476,1.3640714527926279,,1.3739637666290523,1.319100469127961,1.33177942181514,1.292984334352806,1.2175409744782406,1.2099809877164114,1.2614798621583398,1.1525767286313613,1.4275256472643234,1.4522280272920265,1.4073587066328703,1.3779334068535123,1.3935560784116547,1.200095481674082,1.4860050018427313,1.4530611809412521,1.444192567312821,1.4012946941993039
0,GH2,10,1.4029438027351493,1.4152172819378304,1.4115753530205857,,1.3958869989791218,1.395495584370293,1.3261073791569153,1.3104298036396518,1.3404157614767547,1.3368297367969313,1.396849974938694,1.1247832648245084,1.3528419968027547,1.318866022139054,1.4207554682804324,1.4155340628690058,1.4035457163173175,1.108407421319006,1.4174555338332997,1.3713506190906186,1.4102367618612,1.3577505865669985
0,GH2,11,1.3969538676517905,1.4018492726444698,1.3813097043028695,,1.3471890891905614,1.366528087957998,1.3189075496156761,1.329578380316793,1.2064564123381316,1.2393068634527113,1.2478957343078796,1.213661806689647,1.4348090348675913,1.4612849847251639,1.428294149579647,1.414381150735686,1.4319002333730102,1.2640889626944536,1.458933479397933,1.4660258974991704,1.441291126173202,1.455610412711687
0,GH2,12,1.3927421094050416,1.3435448405875219,1.3197613299156972,,1.3420699976419193,1.3015778929470132,1.3252178750328754,1.2906592419973402,1.2105692882396055,1.2231886459927264,1.2374800970227544,1.1556831028504495,1.4304615722883283,1.4544483185436206,1.4014711309736427,1.3841302146004122,1.398434037753633,1.1966716083525601,1.4894561479285702,1.4512403079834253,1.4479265222587467,1.4059109153649192
0,GH2,13,1.4053801469575444,1.3465330290372612,1.3377486003852819,,1.3457481598275078,1.3023632052012981,1.3299439505377277,1.2717545427579837,1.207962618269407,1.215640104534983,1.2312882602765358,1.1676374797695428,1.4268411101415857,1.452429138227212,1.4075917848558286,1.3799485800994338,1.3932658166297414,1.2029796787053992,1.4932433349640473,1.4572965092201657,1.4441699905414316,1.4066491050607997
